id;chunk_index;chunk_text;embedding_model;document_id
1;10688;../fake-data/blob/hipster.txt;keenly yuck cloudy;1
2;13714;../fake-data/blob/hipster.txt;meh like;2
3;3995;../fake-data/blob/hipster.txt;grave although;3
4;19693;../fake-data/blob/hipster.txt;rival;4
5;14306;../fake-data/blob/hipster.txt;gah scent;5
6;21410;../fake-data/blob/hipster.txt;jealously digit weakly;6
7;19993;../fake-data/blob/hipster.txt;round that;7
8;1404;../fake-data/blob/hipster.txt;correctly appliance;8
9;4980;../fake-data/blob/hipster.txt;ha vainly even;9
10;21789;../fake-data/blob/hipster.txt;stock;10
